tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
he8	-1	3	10	never	RB	null	n E	1	H-L%	4	0.704069288	0.626911604	0.655383066	0.646851414	0.759727217
he8	-1	3	10	never	RB	null	v r=	0	H-L%	4	0.712465072	0.631698071	0.662164052	0.654579679	0.768654983
he8	-1	3	10	","	","	null	null	null	H-L%	4	0.703175886	0.62617553	0.654721489	0.64586253	0.758827069
he8	-1	3	11	But	CC	null	b V t	1	H-L%	4	0.680127722	0.606249823	0.633146082	0.623874664	0.735815249
he8	-1	3	11	where	WRB	null	w E r	1	H-L%	4	0.680412084	0.601944298	0.63223189	0.624797	0.736615989
he8	-1	3	11	he	PRP	null	h i	1	H-L%	4	0.694160416	0.618284456	0.646970705	0.638054851	0.749576782
he8	-1	3	11	meant	VBD	L+H*	m E n t	1	H-L%	4	0.667167768	0.598697128	0.623027654	0.61256167	0.722274911
he8	-1	3	11	to	TO	null	t u	1	H-L%	4	0.652608492	0.587116833	0.609472244	0.59826112	0.708445233
he8	-1	3	11	ruin	VB	L+H*	r u	1	H-L%	4	0.629239724	0.565653777	0.587293283	0.576492675	0.685344094
he8	-1	3	11	ruin	VB	L+H*	@ n	0	H-L%	4	0.64423791	0.578948322	0.602226326	0.591984616	0.700460922
he8	-1	3	11	","	","	null	null	null	H-L%	4	0.65436012	0.59140916	0.612893939	0.601341663	0.709606604
he8	-1	3	12	pitiful	JJ	L+H*	p I	1	H-L%	4	0.628688895	0.571712315	0.589364067	0.576423837	0.683962697
he8	-1	3	12	pitiful	JJ	L+H*	t @	0	H-L%	4	0.604489305	0.553340903	0.567320149	0.5530868	0.659669596
he8	-1	3	12	pitiful	JJ	L+H*	f @ l	0	H-L%	4	0.577535028	0.532465892	0.542874468	0.527608242	0.632105983
he8	-1	3	12	:	:	null	null	null	H-L%	4	0.567893537	0.520871171	0.532747769	0.51891047	0.623613456
he8	-1	3	13	His	PRP$	null	h I z	1	H-L%	4	0.57079446	0.523822772	0.535324293	0.521652718	0.625987253
he8	-1	3	13	promises	NNS	L+H*	p r A	1	H-L%	4	0.580178022	0.529430935	0.542581353	0.529922968	0.635922974
he8	-1	3	13	promises	NNS	L+H*	m @	0	H-L%	4	0.605613829	0.548606292	0.564939581	0.553652	0.661493961
he8	-1	3	13	promises	NNS	L+H*	s @ z	0	H-L%	4	0.614970677	0.559942536	0.574770602	0.562265699	0.669808906
he8	-1	3	13	were	VBD	L+H*	w r=	0	H-L%	4	0.603021909	0.545360032	0.561975164	0.55093245	0.658197308
he8	-1	3	13	","	","	null	null	null	H-L%	4	0.628245126	0.563913409	0.584281641	0.574675417	0.683065964
he8	-1	3	14	as	IN	null	{ z	1	H-L%	4	0.637127962	0.568477622	0.59103556	0.582507436	0.69209866
he8	-1	3	14	he	PRP	null	h i	1	H-L%	4	0.636180945	0.567422911	0.589988144	0.581570248	0.691134013
he8	-1	3	14	then	RB	null	D E n	1	H-L%	4	0.636128974	0.56714109	0.589785881	0.581422777	0.690466166
he8	-1	3	14	was	VBD	L+H*	w A z	1	H-L%	4	0.644682986	0.572426062	0.597080732	0.589877323	0.699815151
he8	-1	3	14	","	","	null	null	null	H-L%	4	0.650427051	0.577446752	0.60264185	0.594813571	0.705756702
he8	-1	3	15	mighty	RB	null	m AI	1	H-L%	4	0.673513344	0.597076127	0.624513698	0.616472974	0.728593472
he8	-1	3	15	mighty	RB	null	t i	0	H-L%	4	0.680603285	0.603591524	0.631274798	0.622542465	0.736126914
he8	-1	3	15	;	:	null	null	null	H-L%	4	0.680047599	0.603280301	0.630959888	0.622353645	0.735699578
he8	-1	3	16	But	CC	null	b V t	1	H-L%	4	0.680095403	0.60369636	0.631164314	0.622720461	0.735787803
he8	-1	3	16	his	PRP$	null	h I z	1	H-L%	4	0.679795984	0.603771157	0.631002915	0.622676878	0.735384863
he8	-1	3	16	performance	NN	L+H*	p r=	0	H-L%	4	0.677496628	0.602157486	0.629235553	0.62093493	0.733203358
he8	-1	3	16	performance	NN	L+H*	f O	1	H-L%	4	0.688999498	0.609727826	0.638702474	0.631360962	0.745145169
he8	-1	3	16	performance	NN	L+H*	r m @ n s	0	H-L%	4	0.688336302	0.609404274	0.638265046	0.631064494	0.744504116
he8	-1	3	16	","	","	null	null	null	H-L%	4	0.683643494	0.60836471	0.635262856	0.62671074	0.739540868
he8	-1	3	17	as	IN	null	{ z	1	H-L%	4	0.679228304	0.607573497	0.632543601	0.622438978	0.734844656
he8	-1	3	17	he	PRP	null	h i	1	H-L%	4	0.678538226	0.606918724	0.631945464	0.622024323	0.734236611
he8	-1	3	17	is	VBZ	null	I z	1	H-L%	4	0.68095985	0.609466913	0.634205496	0.624234741	0.736720057
he8	-1	3	17	now	RB	null	n aU	1	H-L%	4	0.680828672	0.609437701	0.634016521	0.624147194	0.736466466
he8	-1	3	17	","	","	null	null	null	H-L%	4	0.69397665	0.62035562	0.646738248	0.637252706	0.749208979
he8	-1	3	18	nothing	NN	L+H*	n V	1	H-L%	4	0.694236578	0.62022814	0.646808123	0.63718297	0.749332379
he8	-1	3	18	nothing	NN	L+H*	T I N	0	H-L%	4	0.694697047	0.620360874	0.647165751	0.637221532	0.749882924
he8	-1	3	18	:	:	null	null	null	H-L%	4	0.716316224	0.640117391	0.66753216	0.657344338	0.770988062
he8	-1	3	19	Of	IN	null	V v	1	H-L%	4	0.703405981	0.63093429	0.656410887	0.645466851	0.757586583
he8	-1	3	19	his	PRP$	null	h I z	1	H-L%	4	0.693567722	0.625894536	0.648768205	0.636835646	0.747069324
he8	-1	3	19	own	JJ	L+H*	@U n	1	H-L%	4	0.673575178	0.607151104	0.629692431	0.618213376	0.727442957
he8	-1	3	19	body	NN	L+H*	b A	1	H-L%	4	0.622556805	0.564908785	0.584278241	0.573873501	0.668716236
